username,name,followers,followers_num,location,price,rating,package_offer,instagram_url,collabstr_url,profile_image
tamekasimmons,Tameka Simmons,27.7k,27700,"Greenville, SC, US",$50,,1 Instagram Story,https://www.instagram.com/tamekasimmons,https://collabstr.com/tamekasimmons?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/666724/17690331966519713.webp
kristenkavan,Kristen Kavan,13.0k,13000,"Denver, CO, US",$150,5.0,,https://www.instagram.com/kristenkavan,https://collabstr.com/kristenkavan?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1356042/17816123151242187.webp
monicaconsolmagno,Monica Consolmagno,10.1k,10100,"San Diego, CA, US",$50,,,https://www.instagram.com/monicaconsolmagno,https://collabstr.com/monicaconsolmagno?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/611112/1763412543356097.webp
theguillorys,Brittany & Marcus Guillory,17.3k,17300,"Little Elm, TX, US",$50,,1 Instagram Story,https://www.instagram.com/theguillorys,https://collabstr.com/theguillorys?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1181470/1777470440982168.webp
jennifer-58918,Jennifer Pilgrim,17.3k,17300,"Plano, TX, US",$150,,1 Instagram Story,https://www.instagram.com/jennifer-58918,https://collabstr.com/jennifer-58918?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1641842/17882961911166372.webp
amandaarrows,Amanda Foust,47.8k,47800,"Odessa, FL, US",$145,5.0,1 Instagram Photo Feed Post,https://www.instagram.com/amandaarrows,https://collabstr.com/amandaarrows?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/456047/17737497769598405.webp
weraisingstars,Rephil Studios,41.8k,41800,"Buford, GA, US",$50,,1 Instagram Story,https://www.instagram.com/weraisingstars,https://collabstr.com/weraisingstars?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/667304/1766116349605193.webp
jaxdisney,Alexandra Molieri,18.1k,18100,"Twentynine Palms, CA, US",$150,4.9,1 Instagram Story,https://www.instagram.com/jaxdisney,https://collabstr.com/jaxdisney?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/980584/1776704728822011.webp
mamaeryn,Eryn Najera,15.7k,15700,"Pomona, CA, US",$50,,1 Instagram Story,https://www.instagram.com/mamaeryn,https://collabstr.com/mamaeryn?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/529588/17590073442618928.webp
markiewmurphy,Markie Murphy,10.5k,10500,"Mesa, AZ, US",$150,,,https://www.instagram.com/markiewmurphy,https://collabstr.com/markiewmurphy?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1236304/17788203861498942.webp
lauraraffin,Laura Raffin,10.2k,10200,"Buffalo Grove, IL, US",$200,5.0,1 Instagram Reel (60 Seconds),https://www.instagram.com/lauraraffin,https://collabstr.com/lauraraffin?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/130773/1707084219845473.webp
onekingsquad,Shavonne King,24.8k,24800,"San Antonio, TX, US",$100,,1 Instagram Photo Feed Post,https://www.instagram.com/onekingsquad,https://collabstr.com/onekingsquad?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/189007/17217639102289987.webp
acostafamily,Acosta Family,27.2k,27200,"Katy, TX, US",$60,,1 Instagram Photo Feed Post,https://www.instagram.com/acostafamily,https://collabstr.com/acostafamily?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1381014/17822378270669603.webp
meryampopal,Meryam Popal,10.5k,10500,"San Diego, CA, US",$50,,1 Instagram Story,https://www.instagram.com/meryampopal,https://collabstr.com/meryampopal?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/928878/17723913521315343.webp
dutcherstefanie,Stefanie Dutcher,16.2k,16200,"Sussex, NJ, US",$150,,,https://www.instagram.com/dutcherstefanie,https://collabstr.com/dutcherstefanie?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/912783/17720618500957563.webp
yourfavoritenikki,Nikki Baker,43.1k,43100,"Maple Grove, MN, US",$500,,1 Instagram Story,https://www.instagram.com/yourfavoritenikki,https://collabstr.com/yourfavoritenikki?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1121824/17792457431332593.webp
ashleyhuguez,Ashley Huguez,32.6k,32600,"Laguna Niguel, CA, US",$500,,1 Instagram Story,https://www.instagram.com/ashleyhuguez,https://collabstr.com/ashleyhuguez?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/131462/17072679566039085.webp
milaneyakarcha,Milaneya Karcha,18.4k,18400,"Brush Prairie, WA, US",$200,,1 Instagram Reel (30 Seconds),https://www.instagram.com/milaneyakarcha,https://collabstr.com/milaneyakarcha?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/309126/17416671993573148.webp
bohartley,Bo Hartley Warren,12.6k,12600,"Tuscaloosa, AL, US",$150,,,https://www.instagram.com/bohartley,https://collabstr.com/bohartley?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/142031/1710560117338373.webp
maddielee,Madisen Lee,39.1k,39100,"Wichita, KS, US",$500,,1 Instagram Story,https://www.instagram.com/maddielee,https://collabstr.com/maddielee?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/243089/1731530548814341.webp
kinseyamezcua,Kinsey,19.2k,19200,"Idaho Falls, ID, US",$50,,1 Instagram Story,https://www.instagram.com/kinseyamezcua,https://collabstr.com/kinseyamezcua?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1017645/17814767147222695.webp
stormwfhmom,Alee Storm,23.1k,23100,"Austin, TX, US",$200,4.9,1 Instagram Story,https://www.instagram.com/stormwfhmom,https://collabstr.com/stormwfhmom?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/214031/1771619147854495.webp
kroberson16,Karsen Roberson,28.4k,28400,"Greenfield, TN, US",$50,5.0,1 Instagram Story,https://www.instagram.com/kroberson16,https://collabstr.com/kroberson16?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/709833/17821913209984689.webp
valeriavelmich,Valeria Velazquez-Michel,11.6k,11600,"Dallas, TX, US",$50,,1 Instagram Story,https://www.instagram.com/valeriavelmich,https://collabstr.com/valeriavelmich?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1437197/17835480842384446.webp
amartinez20,Agustin Martinez,43.4k,43400,"Gadsden, AL, US",$150,5.0,1 Instagram Photo Feed Post,https://www.instagram.com/amartinez20,https://collabstr.com/amartinez20?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1354526/1781577015083992.webp
documentourdays,Kourtnie Scholz,10.7k,10700,"Dallas, TX, US",$100,,,https://www.instagram.com/documentourdays,https://collabstr.com/documentourdays?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/67823/16753986886544774.webp
yuliiakrvtsova,Yuliia Kravtsova,32.9k,32900,"Seattle, WA, US",$50,,,https://www.instagram.com/yuliiakrvtsova,https://collabstr.com/yuliiakrvtsova?p=instagram,https://d5ik1gor6xydq.cloudfront.net/None
megmclachlan,Meg Mclachlan,18.5k,18500,"Salt Lake City, UT, US",$50,,1 Instagram Story,https://www.instagram.com/megmclachlan,https://collabstr.com/megmclachlan?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/838502/17705136064804058.webp
indigoabell,Indigo Abell,13.3k,13300,"Covington, KY, US",$50,,1 Instagram Story,https://www.instagram.com/indigoabell,https://collabstr.com/indigoabell?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1183241/17775505259277823.webp
marianakonoshenko,Mariana,36.6k,36600,"Eagan, MN, US",$50,5.0,,https://www.instagram.com/marianakonoshenko,https://collabstr.com/marianakonoshenko?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1205061/17780102828699179.webp
ashdrum,Ashley Drum,23.9k,23900,"Birmingham, AL, US",$60,,1 Instagram Story,https://www.instagram.com/ashdrum,https://collabstr.com/ashdrum?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/901554/17718576999422698.webp
amyjackson9213,Amy Jackson,38.4k,38400,"Bellaire, OH, US",$500,,1 Instagram Reel,https://www.instagram.com/amyjackson9213,https://collabstr.com/amyjackson9213?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1333011/17810506522986217.webp
olhazalizna,Olha Zalizna,23.9k,23900,"Renton, WA, US",$50,,,https://www.instagram.com/olhazalizna,https://collabstr.com/olhazalizna?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/590615/1762323470992995.webp
cindywolff,Cynthia Torres,16.0k,16000,"Azusa, CA, US",$50,5.0,1 Instagram Story,https://www.instagram.com/cindywolff,https://collabstr.com/cindywolff?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/625975/17641459016901004.webp
shawnaaaaa,Shawna Carruba,10.8k,10800,"Evans City, PA, US",$100,,1 Instagram Story,https://www.instagram.com/shawnaaaaa,https://collabstr.com/shawnaaaaa?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/88945/16878413633215563.webp
ugcmamacontent,Deepika Singh,10.3k,10300,"Fresno, CA, US",$120,,1 Instagram Photo Feed Post,https://www.instagram.com/ugcmamacontent,https://collabstr.com/ugcmamacontent?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1457653/1784136658534122.webp
georgieanderson,Georgie Anderson,12.5k,12500,"Apple Valley, MN, US",$50,,1 Instagram Story,https://www.instagram.com/georgieanderson,https://collabstr.com/georgieanderson?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1309406/17805255013942661.webp
gabiestevaam,Gabriela Estevam,13.9k,13900,"Port Orange, FL, US",$50,,1 Instagram Story,https://www.instagram.com/gabiestevaam,https://collabstr.com/gabiestevaam?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/250879/17326679879086907.webp
cassiewestlund,Cassie Westlund,23.0k,23000,"Sarasota, FL, US",$120,,5 Instagram Photo Feed Posts,https://www.instagram.com/cassiewestlund,https://collabstr.com/cassiewestlund?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1336352/17811256086061738.webp
lexienoelleundem,Lexie Undem,46.8k,46800,"Dickinson, ND, US",$500,,1 Instagram Story,https://www.instagram.com/lexienoelleundem,https://collabstr.com/lexienoelleundem?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/143455/17109713301623383.webp
thepraganos,Kayleen Pragano,10.9k,10900,"Austin, TX, US",$150,,,https://www.instagram.com/thepraganos,https://collabstr.com/thepraganos?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/193149/17226354935469222.webp
amberroseluv21,Amber Sanders,15.6k,15600,"Grand Junction, CO, US",$50,,,https://www.instagram.com/amberroseluv21,https://collabstr.com/amberroseluv21?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/412273/17514806666314478.webp
